1249.28,1062.912
1236.992,1058.816
1241.088,1052.672
1228.8,1056.768
1241.088,1048.576
1222.656,1036.288
1228.8,1019.904
1228.8,999.424
1222.656,983.04
1222.656,956.416
1333.248,892.928
1329.152,886.784
1329.152,880.64
1296.384,813.056
1314.816,786.432
1337.344,772.096
1411.072,774.144
1511.424,794.624
1126.4,897.024
1589.248,813.056
1251.328,956.416
1214.464,968.704
1267.712,1009.664
1263.616,1030.144
1712.128,980.992
1660.928,976.896
1660.928,1011.712
1622.016,1028.096
1589.248,1048.576
1564.672,1064.96
1527.808,1081.344
1468.416,1097.728
1394.688,1116.16
1294.336,1132.544
1234.944,1167.36
1245.184,1234.944
1200.128,1269.76
1230.848,1331.2
1292.288,1400.832
1306.624,1417.216
1462.272,1402.88
1472.512,1335.296
1511.424,1386.496
1499.136,1355.776
1566.72,1327.104
1560.576,1290.24
1572.864,1253.376
1579.008,1228.8
1560.576,1200.128
1501.184,1130.496
1462.272,1101.824
1054.72,1159.168
1394.688,1071.104
1347.584,1071.104
1323.008,1058.816
1329.152,1071.104
1296.384,1050.624
1241.088,997.376
1249.28,968.704
1331.2,921.6
1333.248,903.168
1333.248,888.832
